network	network_description	activation_delay	compute	number_activations	strategy	strategy_description	version	protocol	machine_duration_s	activations	reward	head_time	head_progress	head_height	head_miner	preference	progress	max_uncles	incentive_scheme	head_work	k	head_kind	subblock_selection
gamma-0.5	1 attacker, alpha=0.4, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.4|0.3|0.3	10000	ssz-selfish_release	SSZ'16-like attack space; ad-hoc selfish policy w/ release on adopt	local-v0.6.3-52-g1b63796-dirty		0.168983616	3979|3010|3011	3875.8125|2698.8125|2678.8125	10043.6919372	9773.	7539		heaviest_chain	work	2	discount	9773			
gamma-0.5	1 attacker, alpha=0.4, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.4|0.3|0.3	10000	ssz-honest	SSZ'16-like attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty		0.106849922	3992|2896|3112	3992.03125|2895.875|3112.	10014.7728598	10000.	9999		heaviest_chain	work	2	discount	10000			
gamma-0	1 attacker, alpha=0.4, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.4|0.3|0.3	10000	ssz-selfish_release	SSZ'16-like attack space; ad-hoc selfish policy w/ release on adopt	local-v0.6.3-52-g1b63796-dirty		0.430215659	4062|2991|2947	8.40625|2985.|2946.	10035.1775895	5940.	5939		heaviest_chain	work	2	discount	5940			
gamma-0	1 attacker, alpha=0.4, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.4|0.3|0.3	10000	ssz-selfish_discard	SSZ'16-like attack space; ad-hoc selfish policy w/ discard on adopt	local-v0.6.3-52-g1b63796-dirty		0.435604982	3855|3079|3066	5.40625|3079.|3066.	9895.79659563	6151.	6150		heaviest_chain	work	2	discount	6151			
gamma-0	1 attacker, alpha=0.4, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.4|0.3|0.3	10000	ssz-fn19	SSZ'16-like attack space; Feng and Niu. Selfish mining in Ethereum. ICDCS '19.	local-v0.6.3-52-g1b63796-dirty		0.526823592	3939|2978|3083	4.|2974.90625|3081.90625	9928.8660046	6061.	6059		heaviest_chain	work	2	discount	6061			
gamma-0	1 attacker, alpha=0.4, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.4|0.3|0.3	10000	ssz-honest	SSZ'16-like attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty		0.487521914	3953|3028|3019	7.09375|3026.|3016.75	10068.9494395	6051.	6048		heaviest_chain	work	2	discount	6051			
gamma-0.75	1 attacker, alpha=0.4, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.4|0.15|0.15|0.15|0.15	10000	ssz-fn19pkel	SSZ'16-like attack space; Improved? version of Feng and Niu @ ICDCS '19.	local-v0.6.3-52-g1b63796-dirty		0.210818888	3952|1510|1474|1518|1546	3935.78125|1065.59375|1093.375|1104.3125|1113.21875	10004.810619	8794.	7093		heaviest_chain	work	2	discount	8794			
gamma-0.75	1 attacker, alpha=0.4, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.4|0.15|0.15|0.15|0.15	10000	ssz-selfish_discard	SSZ'16-like attack space; ad-hoc selfish policy w/ discard on adopt	local-v0.6.3-52-g1b63796-dirty		0.1901593	3999|1537|1449|1552|1463	3745.09375|1414.09375|1333.4375|1419.96875|1326.96875	10106.4698629	9816.	7430		heaviest_chain	work	2	discount	9816			
gamma-0.75	1 attacker, alpha=0.4, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.4|0.15|0.15|0.15|0.15	10000	ssz-selfish_release	SSZ'16-like attack space; ad-hoc selfish policy w/ release on adopt	local-v0.6.3-52-g1b63796-dirty		0.194775214	3967|1537|1479|1557|1460	3889.78125|1352.03125|1325.21875|1370.96875|1289.03125	10143.1091377	9744.	7527		heaviest_chain	work	2	discount	9744			
gamma-0.75	1 attacker, alpha=0.4, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.4|0.15|0.15|0.15|0.15	10000	ssz-fn19	SSZ'16-like attack space; Feng and Niu. Selfish mining in Ethereum. ICDCS '19.	local-v0.6.3-52-g1b63796-dirty		0.22112085	3996|1474|1570|1499|1461	3998.90625|1129.90625|1176.3125|1124.625|1088.78125	9913.16429645	9089.	6748		heaviest_chain	work	2	discount	9089			
gamma-0.75	1 attacker, alpha=0.4, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.4|0.15|0.15|0.15|0.15	10000	ssz-honest	SSZ'16-like attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty		0.232768031	4041|1513|1479|1521|1446	4041.|1513.|1479.|1521.|1446.	9955.82986993	10000.	10000		heaviest_chain	work	2	discount	10000			
gamma-0.9	1 attacker, alpha=0.4, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.4|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455	10000	ssz-fn19pkel	SSZ'16-like attack space; Improved? version of Feng and Niu @ ICDCS '19.	local-v0.6.3-52-g1b63796-dirty		0.3590547	4084|516|522|490|540|526|552|560|568|544|551|547	4075.65625|361.9375|388.78125|357.3125|379.625|379.1875|386.46875|389.46875|403.46875|383.53125|395.65625|386.71875	10079.2586255	8912.	6990		heaviest_chain	work	2	discount	8912			
gamma-0.9	1 attacker, alpha=0.4, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.4|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455	10000	ssz-selfish_discard	SSZ'16-like attack space; ad-hoc selfish policy w/ discard on adopt	local-v0.6.3-52-g1b63796-dirty		0.261028552	3976|564|532|551|518|525|570|541|564|557|553|549	3759.4375|514.71875|480.53125|505.65625|475.|478.03125|526.6875|491.6875|517.8125|496.09375|507.375|503.09375	9957.78455538	9835.	7435		heaviest_chain	work	2	discount	9835			
gamma-0.9	1 attacker, alpha=0.4, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.4|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455	10000	ssz-fn19	SSZ'16-like attack space; Feng and Niu. Selfish mining in Ethereum. ICDCS '19.	local-v0.6.3-52-g1b63796-dirty		0.358794854	3999|517|545|545|542|553|542|559|577|566|547|508	4030.90625|406.4375|416.9375|421.5625|424.15625|430.1875|430.03125|428.625|444.8125|429.3125|440.21875|380.15625	10039.5672143	9336.	6725		heaviest_chain	work	2	discount	9336			
gamma-0.9	1 attacker, alpha=0.4, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.4|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455	10000	ssz-selfish_release	SSZ'16-like attack space; ad-hoc selfish policy w/ release on adopt	local-v0.6.3-52-g1b63796-dirty		0.288103986	4119|569|497|550|549|513|556|500|517|504|545|581	4043.|498.1875|423.25|475.78125|487.5|443.21875|471.|430.03125|444.1875|439.40625|476.625|499.71875	9902.55026098	9677.	7448		heaviest_chain	work	2	discount	9677			
gamma-0.9	1 attacker, alpha=0.4, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.4|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455|0.0545454545455	10000	ssz-honest	SSZ'16-like attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty		0.337945591	4001|541|572|539|550|571|530|538|524|549|521|564	4001.|541.|572.|539.|550.|571.|530.|538.|524.|549.|521.|564.	9984.40885004	10000.	10000		heaviest_chain	work	2	discount	10000			
gamma-0.5	1 attacker, alpha=0.45, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.45|0.275|0.275	10000	ssz-fn19pkel	SSZ'16-like attack space; Improved? version of Feng and Niu @ ICDCS '19.	local-v0.6.3-52-g1b63796-dirty		0.173625718	4462|2742|2796	4438.75|1349.53125|1387.46875	9995.2659029	7487.	6359		heaviest_chain	work	2	discount	7487			
gamma-0.5	1 attacker, alpha=0.45, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.45|0.275|0.275	10000	ssz-fn19	SSZ'16-like attack space; Feng and Niu. Selfish mining in Ethereum. ICDCS '19.	local-v0.6.3-52-g1b63796-dirty		0.172025092	4480|2750|2770	4457.59375|1356.875|1409.1875	10015.7835783	7569.	6120		heaviest_chain	work	2	discount	7569			
gamma-0	1 attacker, alpha=0.45, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.45|0.275|0.275	10000	ssz-selfish_release	SSZ'16-like attack space; ad-hoc selfish policy w/ release on adopt	local-v0.6.3-52-g1b63796-dirty		0.300954269	4504|2758|2738	10.78125|2753.|2736.	10123.2300439	5500.	5499		heaviest_chain	work	2	discount	5500			
gamma-0	1 attacker, alpha=0.45, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.45|0.275|0.275	10000	ssz-fn19pkel	SSZ'16-like attack space; Improved? version of Feng and Niu @ ICDCS '19.	local-v0.6.3-52-g1b63796-dirty		0.537047547	4537|2747|2716	79.|2716.0625|2686.75	10040.0948941	5482.	5480		heaviest_chain	work	2	discount	5482			
gamma-0	1 attacker, alpha=0.45, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.45|0.275|0.275	10000	ssz-fn19	SSZ'16-like attack space; Feng and Niu. Selfish mining in Ethereum. ICDCS '19.	local-v0.6.3-52-g1b63796-dirty		0.537961599	4453|2740|2807	5.28125|2740.03125|2806.875	10043.5094634	5553.	5551		heaviest_chain	work	2	discount	5553			
gamma-0.5	1 attacker, alpha=0.45, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.45|0.275|0.275	10000	ssz-selfish_discard	SSZ'16-like attack space; ad-hoc selfish policy w/ discard on adopt	local-v0.6.3-52-g1b63796-dirty		0.137363282	4500|2698|2802	4207.875|2343.21875|2457.625	9978.93110575	9655.	7204		heaviest_chain	work	2	discount	9655			
gamma-0.5	1 attacker, alpha=0.45, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.45|0.275|0.275	10000	ssz-honest	SSZ'16-like attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty		0.093697752	4489|2761|2750	4489.|2761.|2750.	9959.51669169	10000.	10000		heaviest_chain	work	2	discount	10000			
gamma-0.5	1 attacker, alpha=0.45, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.45|0.275|0.275	10000	ssz-selfish_release	SSZ'16-like attack space; ad-hoc selfish policy w/ release on adopt	local-v0.6.3-52-g1b63796-dirty		0.164482437	4568|2643|2789	4431.40625|2222.5625|2334.8125	9796.0427212	9587.	7254		heaviest_chain	work	2	discount	9587			
gamma-0	1 attacker, alpha=0.45, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.45|0.275|0.275	10000	ssz-selfish_discard	SSZ'16-like attack space; ad-hoc selfish policy w/ discard on adopt	local-v0.6.3-52-g1b63796-dirty		0.520283424	4524|2801|2675	1.|2800.|2675.	9918.5549228	5476.	5476		heaviest_chain	work	2	discount	5476			
gamma-0	1 attacker, alpha=0.45, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.45|0.275|0.275	10000	ssz-honest	SSZ'16-like attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty		0.514896737	4505|2754|2741	0.|2754.|2741.	9985.1323	5495.	5495		heaviest_chain	work	2	discount	5495			
gamma-0.75	1 attacker, alpha=0.45, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.45|0.1375|0.1375|0.1375|0.1375	10000	ssz-selfish_discard	SSZ'16-like attack space; ad-hoc selfish policy w/ discard on adopt	local-v0.6.3-52-g1b63796-dirty		0.176999506	4428|1356|1449|1402|1365	4143.59375|1201.28125|1270.15625|1235.28125|1209.75	10036.8546753	9709.	7231		heaviest_chain	work	2	discount	9709			
gamma-0.75	1 attacker, alpha=0.45, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.45|0.1375|0.1375|0.1375|0.1375	10000	ssz-selfish_release	SSZ'16-like attack space; ad-hoc selfish policy w/ release on adopt	local-v0.6.3-52-g1b63796-dirty		0.174498654	4588|1357|1305|1354|1396	4473.53125|1123.|1081.0625|1103.09375|1151.21875	9911.9770369	9531.	7258		heaviest_chain	work	2	discount	9531			
gamma-0.75	1 attacker, alpha=0.45, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.45|0.1375|0.1375|0.1375|0.1375	10000	ssz-fn19pkel	SSZ'16-like attack space; Improved? version of Feng and Niu @ ICDCS '19.	local-v0.6.3-52-g1b63796-dirty		0.231839031	4532|1401|1357|1411|1299	4519.96875|646.09375|618.25|686.9375|601.59375	10083.2574663	7444.	6245		heaviest_chain	work	2	discount	7444			
gamma-0.75	1 attacker, alpha=0.45, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.45|0.1375|0.1375|0.1375|0.1375	10000	ssz-fn19	SSZ'16-like attack space; Feng and Niu. Selfish mining in Ethereum. ICDCS '19.	local-v0.6.3-52-g1b63796-dirty		0.225213404	4478|1429|1367|1368|1358	4495.53125|759.4375|769.9375|775.6875|741.40625	10158.4311141	8051.	6159		heaviest_chain	work	2	discount	8051			
gamma-0.75	1 attacker, alpha=0.45, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.45|0.1375|0.1375|0.1375|0.1375	10000	ssz-honest	SSZ'16-like attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty		0.17941507	4434|1400|1356|1445|1365	4434.|1400.|1356.|1445.|1365.	10040.2842545	10000.	10000		heaviest_chain	work	2	discount	10000			
gamma-0.9	1 attacker, alpha=0.45, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.45|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05	10000	ssz-selfish_release	SSZ'16-like attack space; ad-hoc selfish policy w/ release on adopt	local-v0.6.3-52-g1b63796-dirty		0.261609099	4471|509|512|497|523|512|500|509|487|509|467|504	4372.|425.46875|417.40625|411.53125|430.875|415.28125|411.25|426.65625|409.65625|425.8125|382.375|414.9375	9945.76582718	9524.	7296		heaviest_chain	work	2	discount	9524			
gamma-0.9	1 attacker, alpha=0.45, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.45|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05	10000	ssz-honest	SSZ'16-like attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty		0.268365272	4458|523|504|479|507|463|511|490|509|502|495|559	4458.|523.|504.03125|479.|507.|463.|511.|490.|508.875|502.|495.|559.	10121.6293979	10000.	9999		heaviest_chain	work	2	discount	10000			
gamma-0.9	1 attacker, alpha=0.45, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.45|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05	10000	ssz-selfish_discard	SSZ'16-like attack space; ad-hoc selfish policy w/ discard on adopt	local-v0.6.3-52-g1b63796-dirty		0.298763307	4469|477|505|506|497|503|524|515|513|490|514|487	4189.71875|405.78125|439.84375|452.03125|440.09375|440.375|458.09375|442.78125|441.65625|431.53125|441.25|423.25	9889.81471425	9652.	7187		heaviest_chain	work	2	discount	9652			
gamma-0.9	1 attacker, alpha=0.45, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.45|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05	10000	ssz-fn19pkel	SSZ'16-like attack space; Improved? version of Feng and Niu @ ICDCS '19.	local-v0.6.3-52-g1b63796-dirty		0.369311468	4413|529|497|489|494|507|549|496|501|488|517|520	4407.875|291.84375|276.9375|274.46875|270.65625|257.875|309.25|280.84375|278.9375|254.78125|292.53125|292.6875	10136.6847785	7986.	6516		heaviest_chain	work	2	discount	7986			
gamma-0.9	1 attacker, alpha=0.45, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.45|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05	10000	ssz-fn19	SSZ'16-like attack space; Feng and Niu. Selfish mining in Ethereum. ICDCS '19.	local-v0.6.3-52-g1b63796-dirty		0.462169377	4466|497|522|502|501|496|499|492|484|519|535|487	4504.09375|287.96875|299.03125|297.84375|296.03125|309.46875|289.|300.625|283.875|317.90625|308.03125|299.	9946.59751297	8533.	6165		heaviest_chain	work	2	discount	8533			
gamma-0	1 attacker, alpha=0.5, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.5|0.25|0.25	10000	ssz-honest	SSZ'16-like attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty		0.42803188	5036|2540|2424	4878.84375|70.|94.25	9837.16066817	5045.	5042		heaviest_chain	work	2	discount	5045			
gamma-0.5	1 attacker, alpha=0.5, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.5|0.25|0.25	10000	ssz-fn19pkel	SSZ'16-like attack space; Improved? version of Feng and Niu @ ICDCS '19.	local-v0.6.3-52-g1b63796-dirty		0.53899852	4917|2533|2550	4909.5|444.5|444.6875	9914.73386697	5927.	5497		heaviest_chain	work	2	discount	5927			
gamma-0.5	1 attacker, alpha=0.5, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.5|0.25|0.25	10000	ssz-selfish_discard	SSZ'16-like attack space; ad-hoc selfish policy w/ discard on adopt	local-v0.6.3-52-g1b63796-dirty		0.147127507	4928|2524|2548	4610.78125|2070.78125|2085.625	10027.6287706	9454.	6984		heaviest_chain	work	2	discount	9454			
gamma-0.5	1 attacker, alpha=0.5, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.5|0.25|0.25	10000	ssz-honest	SSZ'16-like attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty		0.101880486	4985|2418|2597	4985.|2418.|2597.	10061.0975189	10000.	10000		heaviest_chain	work	2	discount	10000			
gamma-0.5	1 attacker, alpha=0.5, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.5|0.25|0.25	10000	ssz-selfish_release	SSZ'16-like attack space; ad-hoc selfish policy w/ release on adopt	local-v0.6.3-52-g1b63796-dirty		0.178756476	4999|2510|2491	4851.4375|1974.0625|1903.71875	9945.31415618	9354.	7095		heaviest_chain	work	2	discount	9354			
gamma-0	1 attacker, alpha=0.5, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.5|0.25|0.25	10000	ssz-selfish_discard	SSZ'16-like attack space; ad-hoc selfish policy w/ discard on adopt	local-v0.6.3-52-g1b63796-dirty		0.975128525	4891|2573|2536	209.|2477.|2445.	9899.78797571	5131.	5131		heaviest_chain	work	2	discount	5131			
gamma-0.75	1 attacker, alpha=0.5, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.5|0.125|0.125|0.125|0.125	10000	ssz-selfish_discard	SSZ'16-like attack space; ad-hoc selfish policy w/ discard on adopt	local-v0.6.3-52-g1b63796-dirty		0.165271945	5076|1288|1208|1242|1186	4758.34375|1013.0625|967.96875|992.6875|933.125	9948.46850749	9366.	6916		heaviest_chain	work	2	discount	9366			
gamma-0.75	1 attacker, alpha=0.5, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.5|0.125|0.125|0.125|0.125	10000	ssz-selfish_release	SSZ'16-like attack space; ad-hoc selfish policy w/ release on adopt	local-v0.6.3-52-g1b63796-dirty		0.17847493	5011|1230|1292|1221|1246	4882.25|909.3125|982.875|919.75|957.625	9962.05383935	9271.	7101		heaviest_chain	work	2	discount	9271			
gamma-0.75	1 attacker, alpha=0.5, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.5|0.125|0.125|0.125|0.125	10000	ssz-fn19	SSZ'16-like attack space; Feng and Niu. Selfish mining in Ethereum. ICDCS '19.	local-v0.6.3-52-g1b63796-dirty		0.677694979	4883|1302|1273|1286|1256	4896.4375|293.71875|282.25|256.15625|270.125	9999.66534055	6285.	5419		heaviest_chain	work	2	discount	6285			
gamma-0.75	1 attacker, alpha=0.5, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.5|0.125|0.125|0.125|0.125	10000	ssz-honest	SSZ'16-like attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty		0.178868987	5009|1209|1222|1289|1271	5009.|1209.|1222.|1289.|1271.	10098.4197671	10000.	10000		heaviest_chain	work	2	discount	10000			
gamma-0	1 attacker, alpha=0.5, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.5|0.25|0.25	10000	ssz-selfish_release	SSZ'16-like attack space; ad-hoc selfish policy w/ release on adopt	local-v0.6.3-52-g1b63796-dirty		2.313719827	4887|2563|2550	78.|2532.|2507.	9835.88101	5117.	5117		heaviest_chain	work	2	discount	5117			
gamma-0.9	1 attacker, alpha=0.5, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.5|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545	10000	ssz-selfish_discard	SSZ'16-like attack space; ad-hoc selfish policy w/ discard on adopt	local-v0.6.3-52-g1b63796-dirty		0.239220614	4962|428|431|462|434|470|477|480|453|438|475|490	4657.09375|342.5|357.96875|376.9375|357.3125|378.59375|378.21875|395.46875|360.|355.875|370.75|406.625	9931.16232463	9447.	6976		heaviest_chain	work	2	discount	9447			
gamma-0.9	1 attacker, alpha=0.5, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.5|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545	10000	ssz-selfish_release	SSZ'16-like attack space; ad-hoc selfish policy w/ release on adopt	local-v0.6.3-52-g1b63796-dirty		0.247188445	5031|474|443|435|447|459|438|437|459|448|464|465	4913.09375|352.4375|320.53125|322.34375|345.15625|316.|324.59375|318.78125|342.40625|334.28125|342.1875|348.25	9971.84486284	9200.	7074		heaviest_chain	work	2	discount	9200			
gamma-0.9	1 attacker, alpha=0.5, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.5|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545|0.0454545454545	10000	ssz-honest	SSZ'16-like attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty		0.186524844	4890|414|467|496|418|489|453|482|474|459|481|477	4890.|414.|467.|496.|418.|489.03125|453.|481.875|474.|459.|481.|477.	9903.47207741	10000.	9999		heaviest_chain	work	2	discount	10000			
two-agents	2 nodes, alpha=0.1, no propagation delays	1.	0.1|0.9	10000	ssz-selfish	SSZ'16-like attack space; ad-hoc selfish policy	local-v0.6.3-52-g1b63796-dirty	bk	0.125018955	987|9013	645.|8463.	10052.5740427	9108.	9108					block		1	block	
two-agents	2 nodes, alpha=0.1, no propagation delays	1.	0.1|0.9	10000	ssz-honest	SSZ'16-like attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	bk	0.133387587	1012|8988	1012.|8988.	9891.49745002	10000.	10000					block		1	block	
gamma-0.5	1 attacker, alpha=0.5, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.5|0.25|0.25	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	11.144124921	4974|2598|2428	4950.|146.|125.	9903.80822998	5221.	5221	0								
two-agents	2 nodes, alpha=0.2, no propagation delays	1.	0.2|0.8	10000	ssz-selfish	SSZ'16-like attack space; ad-hoc selfish policy	local-v0.6.3-52-g1b63796-dirty	bk	0.155653583	1926|8074	1436.|6981.	9994.47764966	8417.	8417					block		1	block	
two-agents	2 nodes, alpha=0.2, no propagation delays	1.	0.2|0.8	10000	ssz-honest	SSZ'16-like attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	bk	0.15324888	2035|7965	2035.|7965.	9980.72702402	10000.	10000					block		1	block	
two-agents	2 nodes, alpha=0.25, no propagation delays	1.	0.25|0.75	10000	ssz-selfish	SSZ'16-like attack space; ad-hoc selfish policy	local-v0.6.3-52-g1b63796-dirty	bk	0.162373658	2578|7422	2061.|5916.	10084.4202019	7977.	7977					block		1	block	
two-agents	2 nodes, alpha=0.25, no propagation delays	1.	0.25|0.75	10000	ssz-honest	SSZ'16-like attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	bk	0.164391266	2474|7526	2474.|7526.	9871.33932085	10000.	10000					block		1	block	
two-agents	2 nodes, alpha=0.33, no propagation delays	1.	0.33|0.67	10000	ssz-selfish	SSZ'16-like attack space; ad-hoc selfish policy	local-v0.6.3-52-g1b63796-dirty	bk	0.165338489	3296|6704	2772.|4792.	10045.9695577	7564.	7564					block		1	block	
two-agents	2 nodes, alpha=0.33, no propagation delays	1.	0.33|0.67	10000	ssz-honest	SSZ'16-like attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	bk	0.130750709	3344|6656	3344.|6656.	10140.9884982	10000.	10000					block		1	block	
two-agents	2 nodes, alpha=0.4, no propagation delays	1.	0.4|0.6	10000	ssz-selfish	SSZ'16-like attack space; ad-hoc selfish policy	local-v0.6.3-52-g1b63796-dirty	bk	0.17003795	3877|6123	3446.|3864.	10024.9904703	7310.	7310					block		1	block	
two-agents	2 nodes, alpha=0.4, no propagation delays	1.	0.4|0.6	10000	ssz-honest	SSZ'16-like attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	bk	0.127960003	3979|6021	3979.|6021.	9952.99846369	10000.	10000					block		1	block	
two-agents	2 nodes, alpha=0.45, no propagation delays	1.	0.45|0.55	10000	ssz-honest	SSZ'16-like attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	bk	0.13487895	4471|5529	4471.|5529.	10048.0298508	10000.	10000					block		1	block	
